source_paper_id,source_title,rank,similar_paper_id,similar_title,similarity_score
P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.889565
P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,2,P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,0.876174
P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.873958
P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,1,P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,0.895324
P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,2,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.888506
P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.884188
P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,1,P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,0.895324
P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,2,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.882235
P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.878146
P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",1,P04,Knee injuries in volleyball - a review of the articles,0.897774
P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",2,P03,Non-operative Management of Acute Knee Injuries,0.886168
P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.883499
P09,Return to Play After a Lateral Ligament Ankle Sprain,1,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.911271
P09,Return to Play After a Lateral Ligament Ankle Sprain,2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.900031
P09,Return to Play After a Lateral Ligament Ankle Sprain,3,P04,Knee injuries in volleyball - a review of the articles,0.889343
P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.925455
P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,2,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.911271
P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,3,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.910383
P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,1,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.925455
P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,2,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.900031
P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,3,P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,0.898859
P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,1,P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,0.88008
P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,2,P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,0.872242
P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.870131
P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,1,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.887535
P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,2,P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,0.88008
P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,3,P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,0.876787
P14,Calf Strain in Athletes,1,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.876348
P14,Calf Strain in Athletes,2,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.875504
P14,Calf Strain in Athletes,3,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.870577
P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,1,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.903933
P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,2,P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,0.900975
P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.896157
P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,1,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.903933
P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,2,P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,0.901564
P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,3,P04,Knee injuries in volleyball - a review of the articles,0.898555
P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",1,P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,0.91457
P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",2,P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,0.864963
P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",3,P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,0.864579
P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.898859
P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,2,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.891008
P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,3,P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,0.883494
P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,1,P04,Knee injuries in volleyball - a review of the articles,0.88338
P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,2,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.881675
P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.870939
P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,1,P17,"Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024 - Clinical Practice Guidelines",0.91457
P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,2,P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,0.859106
P20,Heel Pain - Plantar Fasciitis: Revision 2023 - Clinical Practice Guidelines,3,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.848126
P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,1,P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",0.905896
P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.881112
P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,3,P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",0.879233
P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",1,P21,Criteria and Guidelines for Returning to Running Following a Tibial Bone Stress Injury: A Scoping Review,0.905896
P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.89248
P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.883541
P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",1,P04,Knee injuries in volleyball - a review of the articles,0.910699
P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",2,P03,Non-operative Management of Acute Knee Injuries,0.906468
P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",3,P24,Return to Play after Posterior Cruciate Ligament Injuries,0.88046
P24,Return to Play after Posterior Cruciate Ligament Injuries,1,P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",0.88046
P24,Return to Play after Posterior Cruciate Ligament Injuries,2,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.874217
P24,Return to Play after Posterior Cruciate Ligament Injuries,3,P04,Knee injuries in volleyball - a review of the articles,0.871576
P25,Plantar Fasciitis in Soccer Players - A Systematic Review,1,P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",0.871994
P25,Plantar Fasciitis in Soccer Players - A Systematic Review,2,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.871616
P25,Plantar Fasciitis in Soccer Players - A Systematic Review,3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.871084
P26,Stress fractures of the base of the metatarsal bones in young trainee ballet dancers,1,P22,"Medial Tibial Stress Syndrome: A Scoping Review of Epidemiology, Biomechanics, and Risk Factors",0.868187
P26,Stress fractures of the base of the metatarsal bones in young trainee ballet dancers,2,P04,Knee injuries in volleyball - a review of the articles,0.850936
P26,Stress fractures of the base of the metatarsal bones in young trainee ballet dancers,3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.850147
P27,The Role of Ankle Proprioception for Balance Control in relation to Sports Performance and Injury,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.871641
P27,The Role of Ankle Proprioception for Balance Control in relation to Sports Performance and Injury,2,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.870601
P27,The Role of Ankle Proprioception for Balance Control in relation to Sports Performance and Injury,3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.857873
P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,1,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.910383
P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.897093
P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,3,P18,Rehabilitation following operative treatment of acute Achilles tendon ruptures: a systematic review and meta-analysis,0.891008
P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,1,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.882929
P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,2,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.879995
P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,3,P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,0.876787
P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,1,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.900975
P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,2,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.888796
P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,3,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.888764
